"","MU","plot","easting","northing","biomass.mg.ha","stocking.stems.ha","diameter.class.cm","basal.area.m2.ha","gross.growth.mg.ha.y"
"487"," 52",24,529069.5,4966334.45,NA,NA,NA,NA,NA
"488"," 52",31,529163.57,4966413.42,NA,NA,NA,NA,NA
"489"," 52",32,529143.57,4966381.67,NA,NA,NA,NA,NA
"490"," 52",33,529112.89,4966332.09,NA,NA,NA,NA,NA
"516","  6",11,529703.81,4967136.96,44.9,7133,2.5,12.1,2.14
"517","  6",12,529631.88,4967178.84,49.58,6299,3.1,12.6,2.14
"518","  6",13,529560.1,4967219.72,30.33,3016,2.8,7.6,0.1
"519","  6",14,529496.27,4967234.2,24.33,1300,3.8,6.1,0.48
"520","  6",15,529426.12,4967318.53,89.84,14887,2.8,31.3,4.65
"521","  6",21,529749.64,4967221.6,88.87,2384,7,15.9,2.11
"522","  6",22,529678.34,4967263.04,42.32,11657,2.2,14.1,2.75
"523","  6",23,529609.1,4967303.6,49.9,322,10,8.9,0.63
"524","  6",24,529535.15,4967301.48,67.99,14321,2,18.9,3.58
"525","  6",25,529444.29,4967352.72,NA,NA,NA,NA,NA
"526","  6",31,529833.26,4967284.75,82.57,7015,2.8,18.7,2.13
"527","  6",32,529762.68,4967324.75,91.6,6864,3.6,20.7,3.33
"528","  6",33,529692.88,4967365.86,74.72,12184,1.9,18,3.51
"529","  6",41,529848.35,4967388.13,89.76,1373,7.5,16.1,2.36
"530","  6",42,529776.88,4967430.46,80.98,1670,7.9,15.4,1.66
"531","  6",43,529706.22,4967470.45,78.27,9100,3.1,22,4.83
"532","  6",51,529911.29,4967462.07,87.03,4939,3.3,16.8,2.98
"533","  6",52,529844.01,4967503.86,75.36,4173,4.6,19.4,2.38
"534","  6",53,529771.77,4967544.19,89.89,7086,4,21.7,3.6
"535","  6",61,529944.19,4967556.76,80.74,13884,1.3,19.1,2.5
"536","  6",71,529992.31,4967639.64,91.73,7870,3.4,23.6,3.35
"537"," 7A",11,528962.97,4967648.35,36.26,623,5.5,9.8,5.11
"538"," 7A",13,528954.4,4967587.21,39.12,562,5.8,10.2,5.09
"539"," 7A",16,529008.01,4967648.11,25.1,451,5.4,6.8,3.96
"540"," 7A",18,529009,4967603.35,18.38,353,5.5,5.7,3.44
"541"," 7A",2,528809.79,4967664.66,19.65,365,5.5,5.8,3.45
"542"," 7A",22,529065.13,4967665.03,51.77,835,5.6,13.4,4.78
"543"," 7A",23,529024.98,4967546.76,5.93,133,5.2,1.9,1.21
"544"," 7A",28,529108.35,4967664.23,24.26,391,5.5,6.2,3.42
"545"," 7A",29,529051.3,4967508.78,13.08,255,5.4,3.8,2.56
"546"," 7A",30,529071.05,4967544.75,28.29,523,5.5,8.1,5.55
"547"," 7A",31,529123.61,4967609.53,23.56,403,5.6,6.7,3.47
"548"," 7A",37,529160.13,4967587.7,47.49,917,5.5,14.1,6.51
"549"," 7A",38,529160.19,4967541.6,49.94,736,5.9,13.4,5.21
"550"," 7A",4,528846.09,4967691.26,9.21,194,5.2,2.7,2.06
"551"," 7A",41,529186.82,4967504.4,51.85,879,5.6,14.8,6.95
"552"," 7A",42,529185.3,4967455.84,55.78,894,5.8,15.8,6.51
"553"," 7A",46,529256.84,4967465.39,44.06,711,5.7,12.1,4.69
"554"," 7A",48,529255.84,4967372.52,21.52,379,5.5,6,2.37
"555"," 7A",50,529292,4967397.45,11.63,266,5.2,3.7,2.72
"556"," 7A",7,528873.8,4967606.96,60.91,944,5.7,15.9,6.56
"557"," 7A",9,528923.44,4967620.96,60.7,858,5.8,15.5,5.72
"558"," 7B",51,529274.05,4967590.77,23.27,449,5.3,6.6,2.95
"559"," 7B",52,529318.8,4967548.32,20.81,360,5.6,6,3.82
"560"," 7B",53,529242.43,4967645.51,10.56,203,5.3,2.9,2.24
"561"," 7B",57,529254.64,4967688.22,20.12,336,5.6,5.4,3.23
"562"," 7B",60,529358.38,4967618.38,10.56,260,5,3.4,2.66
"563"," 7B",61,529313.89,4967690.05,15.7,265,5.5,4.2,2.16
"564"," 7B",64,529358.51,4967676.03,5.98,130,5.3,1.9,1.4
"565"," 7B",65,529313.39,4967746.25,6.55,119,5.5,1.9,1.27
"566"," 7B",69,529418.08,4967676.75,20.02,428,5.3,6.2,4.58
"567"," 7B",70,529357.1,4967759.78,5.88,143,4.9,1.8,1.14
"568"," 7B",72,529430.53,4967719.02,16.04,255,5.6,4.1,1.75
"569"," 7B",73,529371.03,4967805.5,25.62,399,5.8,7.2,3.63
"570"," 7B",76,529430.02,4967778.11,20.87,349,5.5,5.6,3.19
"571"," 7B",80,529489.79,4967750.39,18.01,350,5.3,5.1,2.81
"572"," 7B",82,529428.34,4967834.43,17.41,276,5.8,5,3.16
"573"," 7B",85,529457.83,4967863.67,23.36,459,5.3,6.6,3.36
"574"," 7B",90,529515.44,4967893.37,9.12,204,5.2,2.8,1.7
"575"," 7B",92,529488.11,4967944.57,7.75,156,5.3,2.3,1.56
"576"," 7B",94,529562.93,4967876.37,16.37,290,5.4,4.4,2.38
"577"," 7B",97,529541.18,4967950.25,9.29,156,5.5,2.5,1.68
"578"," 7B",98,529587.81,4967910.26,22.79,454,5.2,6.4,4.56
"579"," 7B",99,529571.02,4967953.5,23.33,445,5.3,6.3,3.86
"580","  8",11,529762.02,4967091.02,70.62,13312,2.1,23.6,6.15
"581","  8",12,529840.49,4967054.94,42.51,7057,2.1,13,3.54
"582","  8",13,529918.71,4967022.65,107.54,8241,3.4,28.5,5.71
"583","  8",14,529989.5,4966990.43,89.09,8853,2.9,25.3,5.36
"584","  8",21,529854.85,4967162.65,65.4,8797,2.2,17.4,4.77
"585","  8",22,529931.56,4967129.91,97.67,7491,3.3,26.3,5.01
"586","  8",23,530004.02,4967094.37,71.05,10927,2.1,19.4,4.2
"587","  8",31,529906.35,4967250.99,69.55,11982,1.9,18.6,4.41
"588","  8",32,529983.06,4967218.24,73.2,9877,2.6,23.9,5.39
"589","  8",33,530059.15,4967184.49,63.52,19431,1.6,23.3,7.18
"590","  8",41,529920.45,4967361.25,51.54,6743,2.4,13.8,4.92
"591","  8",42,529995.44,4967325.61,89.03,14154,2.2,26.1,4.23
"592","  8",43,530075,4967291.54,100.15,9025,3.1,28.6,6
"593","  8",44,530147.14,4967257.33,74.36,9107,2.6,21.8,4.35
"594","  8",51,529991.88,4967444.57,90.53,10904,2.6,25.8,4.68
"595","  8",52,530070.27,4967408.61,75.32,7757,2.8,20.8,4.94
"596","  8",53,530144.31,4967373.41,71.28,9644,2.3,21.1,5.94
"597","  8",61,530064.66,4967526.11,71.72,10008,2.5,22.8,4.83
"598","  8",62,530133,4967493.77,73.33,7124,3,21,3.85
"599","  8",71,530096.74,4967626.35,61.3,7813,2.4,19.1,5.89
"600","  8",72,530172.76,4967590.27,70.44,9487,2.4,22.4,4.16
"601","  9",11,529720.47,4966576.16,149.08,1952,7.8,28.8,3.96
"602","  9",13,529639.34,4966435.26,150.65,4966,5.5,31.2,3.66
"603","  9",14,529600.71,4966363.21,140,1284,8.7,25.1,3.55
"604","  9",21,529622.03,4966607.25,151.5,5769,5.2,31.3,4.37
"605","  9",22,529571.46,4966520.48,74.97,642,8.1,15.3,1.9
"606","  9",23,529533,4966447.99,115.29,3941,5.4,24.9,4.2
"607","  9",31,529546.02,4966674.66,120.49,5374,4.8,26.8,4.95
"608","  9",32,529495.53,4966587.9,126.01,1223,6.9,27.1,4.05
"609","  9",33,529454.84,4966517.72,73.56,1902,5.7,16.2,3.94
"610","  9",34,529414.32,4966445.67,119.3,2013,6.1,23.4,3.55
"611","  9",41,529443.03,4966698.96,189.7,1939,8.1,34.9,4.12
"612","  9",43,529376.62,4966584.24,105.83,6659,4.2,26.5,4.27
"613","  9",44,529334.51,4966514.84,147.65,827,10,26.9,3.25
"614"," 90",11,529764.8,4966594.92,120.59,3199,6.3,25.5,2.66
"615"," 90",12,529825.7,4966701.84,127.45,10388,3.6,29,3.61
"616"," 90",21,529755.92,4966651.97,100.94,5054,4.6,22.4,4.55
"617"," 90",31,529776.92,4966775.04,85.43,8699,3.4,24.2,2.81
"618"," 90",51,529656.16,4966728.38,171.65,1678,8.6,32.8,3.51
"619"," 91",11,529627.37,4966769.46,116.9,2169,6.7,24.7,3.95
"620"," 91",21,529615.16,4966828.17,95.97,1338,6.6,21.3,5.53
"621"," 91",31,529559.21,4966812.7,140.86,1695,7.6,28.9,5.66
"622"," 91",41,529521.51,4966833.18,82.21,1737,6.5,18.3,3.34
"623"," 91",42,529544.81,4966869.73,108.37,1221,7.7,22.1,3.07
"624"," 91",51,529446.69,4966778.85,212.42,1710,7.9,43.1,5.15
"625"," 92",11,529725.96,4966943.99,78.26,5774,4.1,20.9,4.47
"626"," 92",21,529732.58,4967033.78,57.96,4960,3.6,16.9,2.47
"627"," 92",22,529653.41,4966896.33,66.6,1912,5.6,15.9,3.42
"628"," 92",31,529695.51,4967054.27,53.58,1806,5.5,13,3.29
"629"," 92",32,529636.72,4966951.25,95.51,2016,6.7,20.6,3.74
"630"," 92",51,529589.06,4967023.23,71.08,5375,3.9,19.7,3.21
"631","93A",11,529930.99,4966914.62,192.24,1854,7.1,36.2,3.58
"632","93A",12,529871.12,4966806.59,176.9,3381,6.3,37.5,3.49
"633","93B",11,529851.73,4966914.69,145.29,9258,4,39.6,3.71
"634","93B",12,529812.39,4966844.3,110.65,6214,4.3,33.7,4.25
"635","93C",11,529816.27,4966980.07,91.73,5946,4.4,24.4,3.45
"636","93C",12,529754.27,4966872.36,128.63,21010,2.5,40,20.17
